"cps_code","cps_libelle","cps_age_retraite","cps_description","cps_hierarchie_code","cps_cadre_code","cps_typecorps_code","cps_libelle_singulier"
"41035",PSYCHOLOGUES CONSEILLERS,60,PSYCHOLOGUES CONSEILLERS,"1_SG","28_SG",ENS_FONCT,PSYCHOLOGUES CONSEILLER
"41036",PSYCHOLOGUES CONSEILLERS NF REF,60,PSYCHOLOGUES CONSEILLERS NF REF,"1_SG","28_SG",ENS_NON_FONCT,PSYCHOLOGUES CONSEILLERS NF REF
"41200",PROFESSEURS DE L'ENSEIGNEMENT MOYEN NF REF,60,PROFESSEURS DE L'ENSEIGNEMENT MOYEN NF REF,"3_SG","28_SG",ENS_NON_FONCT,PROFESSEURS DE L'ENSEIGNEMENT MOYEN NF REF
"41201",PROFESSEURS DE L'ENSEIGNEMENT MOYEN,60,PROFESSEURS DE L'ENSEIGNEMENT MOYEN,"3_SG","28_SG",ENS_FONCT,PROFESSEURS DE L'ENSEIGNEMENT MOYEN
"41202",MEDIATEURS PEDAGOGIQUES NF REF,60,MEDIATEURS PEDAGOGIQUES NF REF,"3_SG","28_SG",ENS_NON_FONCT,MEDIATEURS PEDAGOGIQUES NF REF
"41203",MEDIATEURS PEDAGOGIQUES,60,MEDIATEURS PEDAGOGIQUES,"3_SG","28_SG",ENS_FONCT,MEDIATEURS PEDAGOGIQUE
"41207",ADJOINTS D'ENSEIGNEMENT TECHNIQUE,60,ADJOINTS D'ENSEIGNEMENT TECHNIQUE,"3_SG","28_SG",ENS_FONCT,ADJOINTS D'ENSEIGNEMENT TECHNIQUE
"41208",ADJOINTS D'ENSEIGNEMENT TECHNIQUE NF REF,60,ADJOINTS D'ENSEIGNEMENT TECHNIQUE NF REF,"3_SG","28_SG",NON_FONCT,ADJOINTS D'ENSEIGNEMENT TECHNIQUE NF REF
"41300",CONSEILLERS PRESCOLAIRES NF REF,60,CONSEILLERS PRESCOLAIRES NF REF,"5_SG","28_SG",ENS_NON_FONCT,CONSEILLERS PRESCOLAIRES NF REF
"41301",CONSEILLERS PRESCOLAIRES,60,CONSEILLERS PRESCOLAIRES,"5_SG","28_SG",ENS_FONCT,CONSEILLERS PRESCOLAIRE
